epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,177.692,0.93191,0.83438,1.51488,0.73817,0.68333,0.68453,0.40069,1.67925,1.77625,1.44231,2.92003e-05,2.92003e-05,2.92003e-05
61,180.199,0.64626,0.68551,1.06286,0.73817,0.68333,0.68453,0.40069,1.67925,1.77625,1.44231,2.89884e-05,2.89884e-05,2.89884e-05
62,182.743,0.71189,0.90918,1.05294,0.73817,0.68333,0.68453,0.40069,1.67925,1.77625,1.44231,2.87529e-05,2.87529e-05,2.87529e-05
63,185.344,0.79336,0.86127,1.16884,0.75985,0.51667,0.68305,0.40133,1.65823,1.82979,1.44396,2.84938e-05,2.84938e-05,2.84938e-05
64,187.974,0.62465,0.64284,1.06701,0.75985,0.51667,0.68305,0.40133,1.65823,1.82979,1.44396,2.82112e-05,2.82112e-05,2.82112e-05
65,190.57,0.68991,0.6988,1.23884,0.75985,0.51667,0.68305,0.40133,1.65823,1.82979,1.44396,2.7905e-05,2.7905e-05,2.7905e-05
66,193.126,0.69747,0.95805,1.09054,0.81567,0.48629,0.60057,0.33628,1.69236,1.8834,1.45088,2.75753e-05,2.75753e-05,2.75753e-05
67,195.911,0.73382,1.13705,1.10265,0.81567,0.48629,0.60057,0.33628,1.69236,1.8834,1.45088,2.7222e-05,2.7222e-05,2.7222e-05
68,198.513,1.0188,1.75808,1.37923,0.81567,0.48629,0.60057,0.33628,1.69236,1.8834,1.45088,2.68451e-05,2.68451e-05,2.68451e-05
69,201.061,0.60995,1.11023,1.10403,0.83203,0.48397,0.5576,0.29639,1.69931,1.94557,1.44074,2.64447e-05,2.64447e-05,2.64447e-05
70,203.569,1.04555,0.88648,1.48339,0.83203,0.48397,0.5576,0.29639,1.69931,1.94557,1.44074,2.60207e-05,2.60207e-05,2.60207e-05
71,206.014,0.94775,1.26442,1.32497,0.83203,0.48397,0.5576,0.29639,1.69931,1.94557,1.44074,2.55731e-05,2.55731e-05,2.55731e-05
72,208.529,0.60599,0.643,1.09312,0.83002,0.47697,0.55702,0.28211,1.78749,1.98645,1.47715,2.5102e-05,2.5102e-05,2.5102e-05
73,211.067,0.68754,0.93288,1.05112,0.83002,0.47697,0.55702,0.28211,1.78749,1.98645,1.47715,2.46073e-05,2.46073e-05,2.46073e-05
74,213.526,0.79607,0.63599,1.24817,0.83002,0.47697,0.55702,0.28211,1.78749,1.98645,1.47715,2.40891e-05,2.40891e-05,2.40891e-05
75,216.046,0.71171,0.54758,1.13335,0.824,0.47045,0.57324,0.2862,1.8272,1.98869,1.49129,2.35472e-05,2.35472e-05,2.35472e-05
76,218.531,0.63559,0.74798,1.12804,0.824,0.47045,0.57324,0.2862,1.8272,1.98869,1.49129,2.29819e-05,2.29819e-05,2.29819e-05
77,221.202,0.69485,0.65458,1.12638,0.824,0.47045,0.57324,0.2862,1.8272,1.98869,1.49129,2.23929e-05,2.23929e-05,2.23929e-05
78,223.806,0.88712,1.02709,1.20744,0.83843,0.46667,0.59903,0.29404,1.8336,2.0068,1.49979,2.17805e-05,2.17805e-05,2.17805e-05
79,226.577,0.57362,0.79273,1.07844,0.83843,0.46667,0.59903,0.29404,1.8336,2.0068,1.49979,2.11444e-05,2.11444e-05,2.11444e-05
80,229.213,0.75987,0.74345,1.22015,0.83843,0.46667,0.59903,0.29404,1.8336,2.0068,1.49979,2.04848e-05,2.04848e-05,2.04848e-05
81,231.743,0.53014,0.5177,0.98542,0.82399,0.46926,0.57355,0.288,1.85734,2.04165,1.53894,1.98016e-05,1.98016e-05,1.98016e-05
82,234.2,0.80837,0.67626,1.14234,0.82399,0.46926,0.57355,0.288,1.85734,2.04165,1.53894,1.90949e-05,1.90949e-05,1.90949e-05
83,236.753,0.82469,0.87432,1.23914,0.82399,0.46926,0.57355,0.288,1.85734,2.04165,1.53894,1.83646e-05,1.83646e-05,1.83646e-05
84,239.51,0.78824,0.5657,1.20705,0.82709,0.48309,0.60058,0.30108,1.8553,2.07325,1.54373,1.76107e-05,1.76107e-05,1.76107e-05
85,242.025,0.58854,0.75567,1.12125,0.82709,0.48309,0.60058,0.30108,1.8553,2.07325,1.54373,1.68333e-05,1.68333e-05,1.68333e-05
86,244.497,0.7685,0.65981,1.11878,0.82709,0.48309,0.60058,0.30108,1.8553,2.07325,1.54373,1.60323e-05,1.60323e-05,1.60323e-05
87,246.968,0.76437,0.7967,1.069,0.82709,0.48309,0.60058,0.30108,1.8553,2.07325,1.54373,1.52077e-05,1.52077e-05,1.52077e-05
88,249.732,0.82906,0.87764,1.41053,0.83702,0.47857,0.59951,0.30061,1.86754,2.09065,1.5239,1.43596e-05,1.43596e-05,1.43596e-05
89,252.234,0.97819,0.96727,1.46745,0.83702,0.47857,0.59951,0.30061,1.86754,2.09065,1.5239,1.34879e-05,1.34879e-05,1.34879e-05
90,254.914,0.64739,0.62916,1.00128,0.83702,0.47857,0.59951,0.30061,1.86754,2.09065,1.5239,1.25927e-05,1.25927e-05,1.25927e-05
91,258.249,0.47185,0.51559,0.89501,0.83702,0.47857,0.59951,0.30061,1.86754,2.09065,1.5239,1.16739e-05,1.16739e-05,1.16739e-05
92,260.774,0.69859,0.67636,0.97891,0.81659,0.48514,0.55608,0.29281,1.86096,2.0214,1.50659,1.07315e-05,1.07315e-05,1.07315e-05
93,263.591,0.48599,0.46401,0.99843,0.81659,0.48514,0.55608,0.29281,1.86096,2.0214,1.50659,9.76562e-06,9.76562e-06,9.76562e-06
94,266.198,0.54262,0.48386,0.88671,0.81659,0.48514,0.55608,0.29281,1.86096,2.0214,1.50659,8.77613e-06,8.77613e-06,8.77613e-06
95,268.692,0.43919,0.46192,0.90595,0.81659,0.48514,0.55608,0.29281,1.86096,2.0214,1.50659,7.76308e-06,7.76308e-06,7.76308e-06
96,271.483,0.46075,0.51423,0.97396,0.83416,0.46668,0.54876,0.29451,1.87467,2.02104,1.49999,6.72648e-06,6.72648e-06,6.72648e-06
97,273.932,0.70664,0.63262,1.06311,0.83416,0.46668,0.54876,0.29451,1.87467,2.02104,1.49999,5.6663e-06,5.6663e-06,5.6663e-06
98,276.46,0.52447,0.4898,0.91396,0.83416,0.46668,0.54876,0.29451,1.87467,2.02104,1.49999,4.58257e-06,4.58257e-06,4.58257e-06
99,278.912,0.47962,0.4676,0.91224,0.83416,0.46668,0.54876,0.29451,1.87467,2.02104,1.49999,3.47528e-06,3.47528e-06,3.47528e-06
100,281.498,0.55971,0.52155,1.02618,0.82857,0.46667,0.57733,0.3549,1.81024,1.85084,1.47816,2.34442e-06,2.34442e-06,2.34442e-06
